net,length_um
_32252_,7.82µm
_33553_,7.82µm
_33964_,7.82µm
_36361_,7.82µm
_36380_,7.82µm
_14294_,7.815µm
_01887_,7.81µm
_00068_,7.805µm
_02508_,7.805µm
_02028_,7.8µm
_03211_,7.8µm
_07515_,7.8µm
_07707_,7.8µm
_12095_,7.8µm
_18087_,7.8µm
_18636_,7.8µm
_20601_,7.8µm
_21070_,7.8µm
_22901_,7.8µm
_23103_,7.8µm
_24253_,7.8µm
_26329_,7.8µm
_30962_,7.8µm
_35297_,7.8µm
_35495_,7.8µm
_37405_,7.8µm
_12840_,7.79µm
_20338_,7.79µm
_25460_,7.79µm
data_out[56],7.79µm
_05853_,7.785µm
_06360_,7.785µm
_24881_,7.785µm
_28594_,7.785µm
_00376_,7.78µm
_00546_,7.78µm
_00586_,7.78µm
_00651_,7.78µm
_01212_,7.78µm
_01251_,7.78µm
_03160_,7.78µm
_03404_,7.78µm
_03826_,7.78µm
_03925_,7.78µm
_04797_,7.78µm
_05131_,7.78µm
_05306_,7.78µm
_05664_,7.78µm
_05669_,7.78µm
_06351_,7.78µm
_06928_,7.78µm
_07679_,7.78µm
_08860_,7.78µm
_09024_,7.78µm
_09209_,7.78µm
_10419_,7.78µm
_10455_,7.78µm
_11496_,7.78µm
_12947_,7.78µm
_13327_,7.78µm
_13666_,7.78µm
_14070_,7.78µm
_14327_,7.78µm
_14522_,7.78µm
_14570_,7.78µm
_14709_,7.78µm
_15254_,7.78µm
_15829_,7.78µm
_16037_,7.78µm
_17117_,7.78µm
_17288_,7.78µm
_17379_,7.78µm
_17556_,7.78µm
_18109_,7.78µm
_18319_,7.78µm
_18401_,7.78µm
_18598_,7.78µm
_18706_,7.78µm
_19376_,7.78µm
_19985_,7.78µm
_20859_,7.78µm
_21299_,7.78µm
_21737_,7.78µm
_21747_,7.78µm
_22501_,7.78µm
_22522_,7.78µm
_23157_,7.78µm
_23175_,7.78µm
_23534_,7.78µm
_23781_,7.78µm
_24860_,7.78µm
_25282_,7.78µm
_25581_,7.78µm
_25644_,7.78µm
_25755_,7.78µm
_26223_,7.78µm
_27455_,7.78µm
_27690_,7.78µm
_28678_,7.78µm
_28681_,7.78µm
_29367_,7.78µm
_29379_,7.78µm
_29745_,7.78µm
_29818_,7.78µm
_30054_,7.78µm
_31140_,7.78µm
_32735_,7.78µm
_32745_,7.78µm
_32873_,7.78µm
_33616_,7.78µm
_33635_,7.78µm
_33706_,7.78µm
_33994_,7.78µm
_34487_,7.78µm
_34490_,7.78µm
_35024_,7.78µm
_35392_,7.78µm
_35847_,7.78µm
_35874_,7.78µm
_36466_,7.78µm
_36575_,7.78µm
_36665_,7.78µm
_37732_,7.78µm
_22034_,7.775µm
_33373_,7.775µm
_02450_,7.76µm
_02933_,7.76µm
_08249_,7.76µm
_10403_,7.76µm
_10972_,7.76µm
_11501_,7.76µm
_13617_,7.76µm
_14625_,7.76µm
_16101_,7.76µm
_16659_,7.76µm
_19198_,7.76µm
_21803_,7.76µm
_24420_,7.76µm
_27006_,7.76µm
_31738_,7.76µm
_37449_,7.76µm
_00695_,7.755µm
_30769_,7.755µm
_32331_,7.755µm
_21748_,7.75µm
_31885_,7.75µm
_05768_,7.745µm
_18665_,7.745µm
_00783_,7.74µm
_01832_,7.74µm
_03651_,7.74µm
_05783_,7.74µm
_08069_,7.74µm
_08935_,7.74µm
_09141_,7.74µm
_10283_,7.74µm
_11004_,7.74µm
_11314_,7.74µm
_11642_,7.74µm
_12038_,7.74µm
_12319_,7.74µm
_13370_,7.74µm
_13803_,7.74µm
_16132_,7.74µm
_16595_,7.74µm
_17123_,7.74µm
_17284_,7.74µm
_17291_,7.74µm
_20191_,7.74µm
_20543_,7.74µm
_21991_,7.74µm
_23180_,7.74µm
_25104_,7.74µm
_25701_,7.74µm
_27608_,7.74µm
_29405_,7.74µm
_30348_,7.74µm
_35979_,7.74µm
_36295_,7.74µm
_36352_,7.74µm
_36441_,7.74µm
_37473_,7.74µm
_00723_,7.735µm
_20794_,7.73µm
_06826_,7.72µm
_11540_,7.72µm
_17896_,7.72µm
_23986_,7.72µm
_24185_,7.72µm
_17848_,7.71µm
_29217_,7.71µm
_06505_,7.7µm
_07092_,7.7µm
_09022_,7.7µm
_10408_,7.7µm
_13939_,7.7µm
_15328_,7.7µm
_16246_,7.7µm
_16881_,7.7µm
_17298_,7.7µm
_17607_,7.7µm
_18353_,7.7µm
_19255_,7.7µm
_25139_,7.7µm
_25281_,7.7µm
_28014_,7.7µm
_28058_,7.7µm
_28631_,7.7µm
_28755_,7.7µm
_30506_,7.7µm
_31813_,7.7µm
_33645_,7.7µm
_36598_,7.7µm
_36835_,7.7µm
_15930_,7.69µm
_32825_,7.69µm
data_in[41],7.69µm
data_in[63],7.69µm
iv[35],7.69µm
_00109_,7.685µm
_20491_,7.685µm
_00679_,7.68µm
_01289_,7.68µm
_02996_,7.68µm
_03290_,7.68µm
_04536_,7.68µm
_05018_,7.68µm
_05359_,7.68µm
_05592_,7.68µm
_06033_,7.68µm
_06837_,7.68µm
_06945_,7.68µm
_08758_,7.68µm
_09551_,7.68µm
_11637_,7.68µm
_12107_,7.68µm
_13335_,7.68µm
_14159_,7.68µm
_14710_,7.68µm
_14841_,7.68µm
_15179_,7.68µm
_15387_,7.68µm
_15704_,7.68µm
_20116_,7.68µm
_20691_,7.68µm
_21555_,7.68µm
_22290_,7.68µm
_22773_,7.68µm
_24443_,7.68µm
_24810_,7.68µm
_27842_,7.68µm
_27925_,7.68µm
_28337_,7.68µm
_29309_,7.68µm
_30165_,7.68µm
_30419_,7.68µm
_30703_,7.68µm
_31052_,7.68µm
_31073_,7.68µm
_32691_,7.68µm
_32765_,7.68µm
_32824_,7.68µm
_33117_,7.68µm
_33883_,7.68µm
_34498_,7.68µm
_35160_,7.68µm
_36408_,7.68µm
_37069_,7.68µm
_37143_,7.68µm
net107,7.68µm
_31275_,7.675µm
_02061_,7.67µm
_08304_,7.67µm
_08326_,7.67µm
_22345_,7.67µm
_29127_,7.67µm
_32476_,7.67µm
_33955_,7.67µm
_35903_,7.67µm
data_in[3],7.67µm
_07163_,7.665µm
_28219_,7.665µm
_00662_,7.66µm
_00696_,7.66µm
_01896_,7.66µm
_02449_,7.66µm
_02505_,7.66µm
_02512_,7.66µm
_02988_,7.66µm
_03162_,7.66µm
_04468_,7.66µm
_04841_,7.66µm
_05083_,7.66µm
_05742_,7.66µm
_06289_,7.66µm
_07712_,7.66µm
_08300_,7.66µm
_08460_,7.66µm
_08516_,7.66µm
_08710_,7.66µm
_08824_,7.66µm
_10354_,7.66µm
_10517_,7.66µm
_10756_,7.66µm
_11029_,7.66µm
_11562_,7.66µm
_12175_,7.66µm
_12769_,7.66µm
_13384_,7.66µm
_13475_,7.66µm
_13690_,7.66µm
_14508_,7.66µm
_15312_,7.66µm
_15401_,7.66µm
_15519_,7.66µm
_15572_,7.66µm
_16171_,7.66µm
_17190_,7.66µm
_17328_,7.66µm
_17398_,7.66µm
_18192_,7.66µm
_18296_,7.66µm
_20819_,7.66µm
_21110_,7.66µm
_23559_,7.66µm
_23807_,7.66µm
_24256_,7.66µm
_24314_,7.66µm
_24451_,7.66µm
_26195_,7.66µm
_26983_,7.66µm
_27890_,7.66µm
_28260_,7.66µm
_28279_,7.66µm
_28386_,7.66µm
_28580_,7.66µm
_28598_,7.66µm
_29071_,7.66µm
_29704_,7.66µm
_31207_,7.66µm
_31914_,7.66µm
_32135_,7.66µm
_32302_,7.66µm
_32610_,7.66µm
_32903_,7.66µm
_33756_,7.66µm
_34315_,7.66µm
_34801_,7.66µm
_35648_,7.66µm
_35792_,7.66µm
_36594_,7.66µm
_37291_,7.66µm
_37757_,7.66µm
_15333_,7.655µm
_26852_,7.65µm
_35249_,7.65µm
_14036_,7.645µm
_28238_,7.645µm
_33796_,7.645µm
_00342_,7.64µm
_01323_,7.64µm
_01361_,7.64µm
_01941_,7.64µm
_01951_,7.64µm
_03032_,7.64µm
_04038_,7.64µm
_04809_,7.64µm
_04817_,7.64µm
_05245_,7.64µm
_05998_,7.64µm
_06346_,7.64µm
_06552_,7.64µm
_06863_,7.64µm
_07333_,7.64µm
_07513_,7.64µm
_08097_,7.64µm
_08313_,7.64µm
_09394_,7.64µm
_09519_,7.64µm
_10187_,7.64µm
_10880_,7.64µm
_10980_,7.64µm
_12689_,7.64µm
_13176_,7.64µm
_13936_,7.64µm
_14217_,7.64µm
_14916_,7.64µm
_15201_,7.64µm
_15447_,7.64µm
_15461_,7.64µm
_16583_,7.64µm
_16839_,7.64µm
_17059_,7.64µm
_17380_,7.64µm
_17646_,7.64µm
_18259_,7.64µm
_18294_,7.64µm
_20747_,7.64µm
_20836_,7.64µm
_21217_,7.64µm
_21539_,7.64µm
_21757_,7.64µm
_22167_,7.64µm
_22329_,7.64µm
_23369_,7.64µm
_23877_,7.64µm
_23910_,7.64µm
_24912_,7.64µm
_25495_,7.64µm
_27147_,7.64µm
_27196_,7.64µm
_27495_,7.64µm
_28271_,7.64µm
_28719_,7.64µm
_29175_,7.64µm
_29508_,7.64µm
_29702_,7.64µm
_29703_,7.64µm
_29801_,7.64µm
_30127_,7.64µm
_30602_,7.64µm
_30814_,7.64µm
_31241_,7.64µm
_33668_,7.64µm
_34786_,7.64µm
_35381_,7.64µm
_36325_,7.64µm
_36765_,7.64µm
_37128_,7.64µm
net31,7.64µm
_17927_,7.635µm
_26367_,7.635µm
_01396_,7.62µm
_02009_,7.62µm
_07577_,7.62µm
_08869_,7.62µm
_10475_,7.62µm
_10943_,7.62µm
_11462_,7.62µm
_16809_,7.62µm
_18072_,7.62µm
_20000_,7.62µm
_21211_,7.62µm
_22419_,7.62µm
_25035_,7.62µm
_26201_,7.62µm
_27331_,7.62µm
_27576_,7.62µm
_27893_,7.62µm
_29043_,7.62µm
_31347_,7.62µm
_31476_,7.62µm
_31671_,7.62µm
_36632_,7.62µm
_37484_,7.62µm
net41,7.62µm
_21689_,7.615µm
_04625_,7.61µm
_24839_,7.61µm
_33161_,7.61µm
_01076_,7.6µm
_01093_,7.6µm
_01094_,7.6µm
_01110_,7.6µm
_01154_,7.6µm
_02394_,7.6µm
_02748_,7.6µm
_03278_,7.6µm
_05871_,7.6µm
_06352_,7.6µm
_06754_,7.6µm
_06881_,7.6µm
_07929_,7.6µm
_08676_,7.6µm
_10071_,7.6µm
_10602_,7.6µm
_10762_,7.6µm
_10974_,7.6µm
_11009_,7.6µm
_11356_,7.6µm
_11436_,7.6µm
_13147_,7.6µm
_14425_,7.6µm
_15182_,7.6µm
_15993_,7.6µm
_16539_,7.6µm
_16708_,7.6µm
_18465_,7.6µm
_18797_,7.6µm
_18858_,7.6µm
_20080_,7.6µm
_20825_,7.6µm
_21143_,7.6µm
_21266_,7.6µm
_21500_,7.6µm
_22178_,7.6µm
_22609_,7.6µm
_23148_,7.6µm
_23360_,7.6µm
_24037_,7.6µm
_24082_,7.6µm
_25669_,7.6µm
_26080_,7.6µm
_27748_,7.6µm
_28302_,7.6µm
_29249_,7.6µm
_29421_,7.6µm
_30039_,7.6µm
_32005_,7.6µm
_32351_,7.6µm
_33494_,7.6µm
_33697_,7.6µm
_35147_,7.6µm
_37644_,7.6µm
_02524_,7.59µm
_09755_,7.59µm
_30921_,7.59µm
_12117_,7.585µm
_23483_,7.585µm
_02037_,7.58µm
_03098_,7.58µm
_07728_,7.58µm
_07807_,7.58µm
_09565_,7.58µm
_10946_,7.58µm
_12194_,7.58µm
_14051_,7.58µm
_15120_,7.58µm
_16177_,7.58µm
_16555_,7.58µm
_17152_,7.58µm
_19344_,7.58µm
_21802_,7.58µm
_22364_,7.58µm
_24176_,7.58µm
_25513_,7.58µm
_25963_,7.58µm
_26324_,7.58µm
_26891_,7.58µm
_29155_,7.58µm
_32605_,7.58µm
_33510_,7.58µm
_34774_,7.58µm
_22331_,7.57µm
data_out[11],7.57µm
data_out[4],7.57µm
_02447_,7.565µm
_00584_,7.56µm
_01210_,7.56µm
_01562_,7.56µm
_01723_,7.56µm
_02509_,7.56µm
_03190_,7.56µm
_03462_,7.56µm
_03465_,7.56µm
_03849_,7.56µm
_04250_,7.56µm
_04492_,7.56µm
_05356_,7.56µm
_05857_,7.56µm
_06431_,7.56µm
_06998_,7.56µm
_07802_,7.56µm
_07804_,7.56µm
_08130_,7.56µm
_08873_,7.56µm
_09351_,7.56µm
_09585_,7.56µm
_09846_,7.56µm
_10229_,7.56µm
_13944_,7.56µm
_14515_,7.56µm
_14938_,7.56µm
_16083_,7.56µm
_16178_,7.56µm
_16632_,7.56µm
_17855_,7.56µm
_18191_,7.56µm
_18721_,7.56µm
_18937_,7.56µm
_19201_,7.56µm
_19962_,7.56µm
_20270_,7.56µm
_20709_,7.56µm
_22981_,7.56µm
_23352_,7.56µm
_23686_,7.56µm
_24355_,7.56µm
_24584_,7.56µm
_24706_,7.56µm
_24817_,7.56µm
_25080_,7.56µm
_25758_,7.56µm
_26721_,7.56µm
_26972_,7.56µm
_28377_,7.56µm
_28420_,7.56µm
_28508_,7.56µm
_28514_,7.56µm
_28587_,7.56µm
_28771_,7.56µm
_28833_,7.56µm
_29070_,7.56µm
_29561_,7.56µm
_30876_,7.56µm
_31322_,7.56µm
_31370_,7.56µm
_31385_,7.56µm
_31928_,7.56µm
_32614_,7.56µm
_32928_,7.56µm
_33758_,7.56µm
_33987_,7.56µm
_36518_,7.56µm
_37636_,7.56µm
_07660_,7.555µm
_12301_,7.555µm
_23713_,7.55µm
_00153_,7.54µm
_00278_,7.54µm
_00520_,7.54µm
_00620_,7.54µm
_00727_,7.54µm
_01885_,7.54µm
_02064_,7.54µm
_04284_,7.54µm
_04428_,7.54µm
_05912_,7.54µm
_06182_,7.54µm
_06870_,7.54µm
_07668_,7.54µm
_09014_,7.54µm
_09366_,7.54µm
_10720_,7.54µm
_10950_,7.54µm
_11028_,7.54µm
_11460_,7.54µm
_13988_,7.54µm
_14736_,7.54µm
_15277_,7.54µm
_16615_,7.54µm
_17089_,7.54µm
_19970_,7.54µm
_20178_,7.54µm
_20349_,7.54µm
_21203_,7.54µm
_21766_,7.54µm
_23011_,7.54µm
_23817_,7.54µm
_23850_,7.54µm
_24155_,7.54µm
_25020_,7.54µm
_25066_,7.54µm
_26937_,7.54µm
_27355_,7.54µm
_28897_,7.54µm
_28941_,7.54µm
_29395_,7.54µm
_29491_,7.54µm
_30123_,7.54µm
_30356_,7.54µm
_30590_,7.54µm
_30631_,7.54µm
_30652_,7.54µm
_33203_,7.54µm
_33888_,7.54µm
_35171_,7.54µm
_35933_,7.54µm
_36736_,7.54µm
_11545_,7.535µm
_12103_,7.535µm
_14881_,7.535µm
_26300_,7.535µm
_27993_,7.535µm
_05638_,7.53µm
_07100_,7.53µm
_01031_,7.52µm
_01054_,7.52µm
_01955_,7.52µm
_01960_,7.52µm
_02123_,7.52µm
_02241_,7.52µm
_02815_,7.52µm
_03063_,7.52µm
_03182_,7.52µm
_03455_,7.52µm
_04554_,7.52µm
_04794_,7.52µm
_04975_,7.52µm
_05055_,7.52µm
_05113_,7.52µm
_05134_,7.52µm
_05204_,7.52µm
_05419_,7.52µm
_05727_,7.52µm
_07265_,7.52µm
_07356_,7.52µm
_08083_,7.52µm
_08222_,7.52µm
_08600_,7.52µm
_08999_,7.52µm
_09222_,7.52µm
_09490_,7.52µm
_09535_,7.52µm
_09635_,7.52µm
_09719_,7.52µm
_09873_,7.52µm
_10127_,7.52µm
_10325_,7.52µm
_10592_,7.52µm
_11319_,7.52µm
_11412_,7.52µm
_11700_,7.52µm
_11781_,7.52µm
_11923_,7.52µm
_12073_,7.52µm
_12085_,7.52µm
_12450_,7.52µm
_12498_,7.52µm
_13455_,7.52µm
_13799_,7.52µm
_13830_,7.52µm
_14003_,7.52µm
_14019_,7.52µm
_14367_,7.52µm
_14451_,7.52µm
_14495_,7.52µm
_14569_,7.52µm
_14797_,7.52µm
_14924_,7.52µm
_14988_,7.52µm
_15415_,7.52µm
_15826_,7.52µm
_16346_,7.52µm
_16372_,7.52µm
_16416_,7.52µm
_16603_,7.52µm
_16786_,7.52µm
_17064_,7.52µm
_17223_,7.52µm
_17821_,7.52µm
_17900_,7.52µm
_18528_,7.52µm
_18544_,7.52µm
_20179_,7.52µm
_21034_,7.52µm
_21243_,7.52µm
_21302_,7.52µm
_21358_,7.52µm
_21572_,7.52µm
_21889_,7.52µm
_22407_,7.52µm
_22548_,7.52µm
_22784_,7.52µm
_22859_,7.52µm
_23050_,7.52µm
_24360_,7.52µm
_24867_,7.52µm
_24916_,7.52µm
_25782_,7.52µm
_26205_,7.52µm
_26305_,7.52µm
_26459_,7.52µm
_26493_,7.52µm
_26607_,7.52µm
_27235_,7.52µm
_28042_,7.52µm
_28292_,7.52µm
_28636_,7.52µm
_28643_,7.52µm
_28817_,7.52µm
_29031_,7.52µm
_29053_,7.52µm
_29378_,7.52µm
_29434_,7.52µm
_29596_,7.52µm
_29601_,7.52µm
_30209_,7.52µm
_30404_,7.52µm
_30408_,7.52µm
_30592_,7.52µm
_30661_,7.52µm
_31387_,7.52µm
_31480_,7.52µm
_31846_,7.52µm
_32065_,7.52µm
_32758_,7.52µm
_33011_,7.52µm
_33366_,7.52µm
_33470_,7.52µm
_33902_,7.52µm
_34030_,7.52µm
_34274_,7.52µm
_34573_,7.52µm
_34757_,7.52µm
_34912_,7.52µm
_34934_,7.52µm
_35723_,7.52µm
_35777_,7.52µm
_35845_,7.52µm
_35860_,7.52µm
_36599_,7.52µm
_36866_,7.52µm
_37748_,7.52µm
_22442_,7.515µm
_11051_,7.51µm
_21738_,7.505µm
_00412_,7.5µm
_02132_,7.5µm
_03486_,7.5µm
_09448_,7.5µm
_12783_,7.5µm
_13566_,7.5µm
_18470_,7.5µm
_19769_,7.5µm
_26332_,7.5µm
_26681_,7.5µm
_28161_,7.5µm
_28264_,7.5µm
_28355_,7.5µm
_30485_,7.5µm
_32105_,7.5µm
_33501_,7.5µm
_35276_,7.5µm
_36167_,7.5µm
_21774_,7.49µm
_30819_,7.49µm
_00216_,7.48µm
_00274_,7.48µm
_00293_,7.48µm
_01208_,7.48µm
_01786_,7.48µm
_02148_,7.48µm
_02274_,7.48µm
_02415_,7.48µm
_03251_,7.48µm
_04720_,7.48µm
_04773_,7.48µm
_05043_,7.48µm
_05318_,7.48µm
_05399_,7.48µm
_06006_,7.48µm
_06241_,7.48µm
_07101_,7.48µm
_07352_,7.48µm
_09194_,7.48µm
_10915_,7.48µm
_13123_,7.48µm
_13417_,7.48µm
_14264_,7.48µm
_14563_,7.48µm
_15351_,7.48µm
_15875_,7.48µm
_17115_,7.48µm
_17659_,7.48µm
_17993_,7.48µm
_18078_,7.48µm
_18486_,7.48µm
_18671_,7.48µm
_19430_,7.48µm
_19637_,7.48µm
_21364_,7.48µm
_21385_,7.48µm
_22492_,7.48µm
_22808_,7.48µm
_22827_,7.48µm
_23230_,7.48µm
_23470_,7.48µm
_23522_,7.48µm
_23736_,7.48µm
_23963_,7.48µm
_24145_,7.48µm
_27691_,7.48µm
_27961_,7.48µm
_28651_,7.48µm
_29225_,7.48µm
_29812_,7.48µm
_31081_,7.48µm
_32137_,7.48µm
_32387_,7.48µm
_33309_,7.48µm
_33324_,7.48µm
_33595_,7.48µm
_33737_,7.48µm
_35478_,7.48µm
_36623_,7.48µm
net271,7.48µm
_31409_,7.47µm
data_in[2],7.47µm
data_in[34],7.47µm
_07831_,7.465µm
_24335_,7.465µm
_01688_,7.46µm
_02530_,7.46µm
_02574_,7.46µm
_03853_,7.46µm
_05649_,7.46µm
_05671_,7.46µm
_07678_,7.46µm
_10644_,7.46µm
_19846_,7.46µm
_19937_,7.46µm
_21063_,7.46µm
_22277_,7.46µm
_22561_,7.46µm
_23600_,7.46µm
_24429_,7.46µm
_24874_,7.46µm
_25545_,7.46µm
_26877_,7.46µm
_27813_,7.46µm
_31803_,7.46µm
_36079_,7.46µm
_36631_,7.46µm
_36697_,7.46µm
_37401_,7.46µm
net68,7.46µm
net82,7.46µm
_19855_,7.445µm
_21065_,7.445µm
_00776_,7.44µm
_01271_,7.44µm
_01933_,7.44µm
_02268_,7.44µm
_02472_,7.44µm
_03615_,7.44µm
_03863_,7.44µm
_03972_,7.44µm
_04244_,7.44µm
_04918_,7.44µm
_05617_,7.44µm
_05848_,7.44µm
_06337_,7.44µm
_06364_,7.44µm
_10704_,7.44µm
_11345_,7.44µm
_11733_,7.44µm
_11889_,7.44µm
_12071_,7.44µm
_13558_,7.44µm
_14083_,7.44µm
_14444_,7.44µm
_15465_,7.44µm
_15549_,7.44µm
_15898_,7.44µm
_16590_,7.44µm
_17316_,7.44µm
_18068_,7.44µm
_18311_,7.44µm
_18718_,7.44µm
_19076_,7.44µm
_19319_,7.44µm
_20447_,7.44µm
_21052_,7.44µm
_21174_,7.44µm
_21509_,7.44µm
_21839_,7.44µm
_22184_,7.44µm
_22294_,7.44µm
_24268_,7.44µm
_24442_,7.44µm
_24805_,7.44µm
_25693_,7.44µm
_26404_,7.44µm
_26428_,7.44µm
_26785_,7.44µm
_27896_,7.44µm
_28476_,7.44µm
_30081_,7.44µm
_30135_,7.44µm
_31035_,7.44µm
_31382_,7.44µm
_32410_,7.44µm
_32486_,7.44µm
_33760_,7.44µm
_33892_,7.44µm
_34533_,7.44µm
_34546_,7.44µm
_35689_,7.44µm
_35806_,7.44µm
_36534_,7.44µm
_36912_,7.44µm
_37145_,7.44µm
_37301_,7.44µm
_37392_,7.44µm
_37935_,7.44µm
_36507_,7.435µm
_12897_,7.43µm
_22485_,7.43µm
_12153_,7.425µm
_00044_,7.42µm
_01870_,7.42µm
_03196_,7.42µm
_04585_,7.42µm
_04590_,7.42µm
_05101_,7.42µm
_05776_,7.42µm
_05888_,7.42µm
_07523_,7.42µm
_07569_,7.42µm
_07725_,7.42µm
_08876_,7.42µm
_09074_,7.42µm
_09303_,7.42µm
_09767_,7.42µm
_10239_,7.42µm
_10412_,7.42µm
_11453_,7.42µm
_12088_,7.42µm
_13371_,7.42µm
_13441_,7.42µm
_14261_,7.42µm
_14836_,7.42µm
_16428_,7.42µm
_18018_,7.42µm
_19170_,7.42µm
_19826_,7.42µm
_19830_,7.42µm
_22570_,7.42µm
_25563_,7.42µm
_26241_,7.42µm
_26947_,7.42µm
_28832_,7.42µm
_29304_,7.42µm
_31030_,7.42µm
_35285_,7.42µm
_36280_,7.42µm
_27864_,7.41µm
_02852_,7.405µm
_00026_,7.4µm
_02181_,7.4µm
_02397_,7.4µm
_02858_,7.4µm
_02928_,7.4µm
_03067_,7.4µm
_03225_,7.4µm
_03427_,7.4µm
_04620_,7.4µm
_04726_,7.4µm
_05154_,7.4µm
_06119_,7.4µm
_06186_,7.4µm
_08641_,7.4µm
_08881_,7.4µm
_09147_,7.4µm
_09506_,7.4µm
_10873_,7.4µm
_11114_,7.4µm
_11286_,7.4µm
_12356_,7.4µm
_12669_,7.4µm
_13246_,7.4µm
_13449_,7.4µm
_13552_,7.4µm
_15431_,7.4µm
_15666_,7.4µm
_17142_,7.4µm
_17323_,7.4µm
_17730_,7.4µm
_18159_,7.4µm
_20737_,7.4µm
_21408_,7.4µm
_22675_,7.4µm
_23099_,7.4µm
_23462_,7.4µm
_23729_,7.4µm
_24400_,7.4µm
_24493_,7.4µm
_24899_,7.4µm
_25137_,7.4µm
_25158_,7.4µm
_25879_,7.4µm
_25953_,7.4µm
_26221_,7.4µm
_28559_,7.4µm
_28671_,7.4µm
_29023_,7.4µm
_30437_,7.4µm
_30647_,7.4µm
_30892_,7.4µm
_31599_,7.4µm
_31678_,7.4µm
_31995_,7.4µm
_32402_,7.4µm
_33795_,7.4µm
_34128_,7.4µm
_35242_,7.4µm
_35609_,7.4µm
_17395_,7.385µm
_03055_,7.38µm
_09517_,7.38µm
_13334_,7.38µm
_26389_,7.38µm
_16703_,7.375µm
_10320_,7.37µm
_12060_,7.37µm
_35823_,7.37µm
_14789_,7.365µm
_01309_,7.36µm
_16116_,7.36µm
_18702_,7.36µm
_31100_,7.36µm
_37304_,7.36µm
_08980_,7.35µm
_03886_,7.34µm
_07975_,7.34µm
_09556_,7.34µm
_12250_,7.34µm
_14129_,7.34µm
_16349_,7.34µm
_20195_,7.34µm
_20372_,7.34µm
_22300_,7.34µm
_24334_,7.34µm
_24837_,7.34µm
_26261_,7.34µm
_26918_,7.34µm
_31965_,7.34µm
_33906_,7.34µm
_37879_,7.34µm
_09515_,7.335µm
data_in[11],7.33µm
_05652_,7.325µm
_16713_,7.325µm
_01642_,7.32µm
_01851_,7.32µm
_01879_,7.32µm
_01998_,7.32µm
_02016_,7.32µm
_02089_,7.32µm
_02531_,7.32µm
_03115_,7.32µm
_03957_,7.32µm
_04159_,7.32µm
_04193_,7.32µm
_04455_,7.32µm
_04467_,7.32µm
_04694_,7.32µm
_04943_,7.32µm
_06131_,7.32µm
_06335_,7.32µm
_07015_,7.32µm
_07161_,7.32µm
_07210_,7.32µm
_07743_,7.32µm
_08352_,7.32µm
_08362_,7.32µm
_08495_,7.32µm
_08931_,7.32µm
_09067_,7.32µm
_09527_,7.32µm
_09871_,7.32µm
_10252_,7.32µm
_10926_,7.32µm
_11021_,7.32µm
_11415_,7.32µm
_11546_,7.32µm
_12172_,7.32µm
_12341_,7.32µm
_12424_,7.32µm
_13315_,7.32µm
_13442_,7.32µm
_13492_,7.32µm
_13848_,7.32µm
_13950_,7.32µm
_14273_,7.32µm
_15256_,7.32µm
_15473_,7.32µm
_16170_,7.32µm
_17354_,7.32µm
_17355_,7.32µm
_17909_,7.32µm
_17990_,7.32µm
_18096_,7.32µm
_18493_,7.32µm
_20429_,7.32µm
_20720_,7.32µm
_21051_,7.32µm
_21295_,7.32µm
_22257_,7.32µm
_22321_,7.32µm
_22972_,7.32µm
_23095_,7.32µm
_23561_,7.32µm
_24250_,7.32µm
_24257_,7.32µm
_24614_,7.32µm
_24699_,7.32µm
_24796_,7.32µm
_24851_,7.32µm
_25008_,7.32µm
_25648_,7.32µm
_25831_,7.32µm
_26207_,7.32µm
_26260_,7.32µm
_27329_,7.32µm
_27905_,7.32µm
_27965_,7.32µm
_28661_,7.32µm
_28917_,7.32µm
_29206_,7.32µm
_29256_,7.32µm
_29676_,7.32µm
_29979_,7.32µm
_29995_,7.32µm
_30358_,7.32µm
_30710_,7.32µm
_30871_,7.32µm
_30957_,7.32µm
_30960_,7.32µm
_31886_,7.32µm
_32464_,7.32µm
_32528_,7.32µm
_32836_,7.32µm
_33712_,7.32µm
_34417_,7.32µm
_34738_,7.32µm
_35854_,7.32µm
_36427_,7.32µm
_36858_,7.32µm
_37250_,7.32µm
_37890_,7.32µm
_01318_,7.315µm
_00079_,7.305µm
_26908_,7.305µm
_00725_,7.3µm
_01366_,7.3µm
_03147_,7.3µm
_04924_,7.3µm
_05631_,7.3µm
_06368_,7.3µm
_07558_,7.3µm
_10721_,7.3µm
_10918_,7.3µm
_13462_,7.3µm
_15712_,7.3µm
_16218_,7.3µm
_16769_,7.3µm
_17750_,7.3µm
_17914_,7.3µm
_20414_,7.3µm
_20556_,7.3µm
_21206_,7.3µm
_22483_,7.3µm
_30330_,7.3µm
_31406_,7.3µm
_31829_,7.3µm
_35385_,7.3µm
_37064_,7.3µm
_28160_,7.295µm
_32025_,7.295µm
_08993_,7.285µm
_18508_,7.285µm
_25453_,7.285µm
_00299_,7.28µm
_01538_,7.28µm
_03547_,7.28µm
_03819_,7.28µm
_04346_,7.28µm
_04433_,7.28µm
_04527_,7.28µm
_06023_,7.28µm
_07037_,7.28µm
_07383_,7.28µm
_08592_,7.28µm
_09059_,7.28µm
_09230_,7.28µm
_10507_,7.28µm
_11602_,7.28µm
_11625_,7.28µm
_11872_,7.28µm
_12402_,7.28µm
