net,length_um
_30682_,480.92µm
net1582,479.88µm
_30476_,478.27µm
net1401,477.9µm
net1057,477.52µm
net1201,476.97µm
net1104,476.84µm
net785,476.82µm
_33008_,476.51µm
net752,475.34µm
net699,475.05µm
net893,473.98µm
net1213,473.8µm
net1503,473.43µm
net1545,473.2µm
net1051,472.44µm
net1496,471.64µm
net1569,471.62µm
net691,471.14µm
net1082,470.53µm
net1504,469.715µm
_30553_,469.59µm
net614,469.535µm
net1420,468.9µm
net1243,468.8µm
net1387,468.76µm
net689,468.5µm
net1102,468.4µm
net1163,468µm
net1570,467.94µm
net771,467.74µm
net738,467.32µm
net1156,466.61µm
net1038,466.375µm
_32183_,465.97µm
net665,465.96µm
net1490,464.84µm
net608,464.075µm
net973,463.78µm
net550,463.67µm
net1126,463.64µm
net615,462.46µm
net1499,462.42µm
tea.data_in\[26\],462.3µm
net917,462.22µm
net906,462.06µm
net1047,461.56µm
net161,461.14µm
net390,461.06µm
net1575,460.505µm
net732,460.28µm
net1070,459.95µm
_32656_,459.69µm
net671,459.22µm
net688,459.11µm
net881,458.86µm
tea.data_in\[18\],458.65µm
net757,458.55µm
net1365,458.175µm
net1221,458.01µm
net1072,457.86µm
clknet_4_5__leaf_clk,457.68µm
net1367,457.46µm
net647,457.13µm
net676,455.88µm
net849,455.83µm
net342,455.445µm
net892,455.42µm
net1558,454.82µm
net677,453.62µm
net333,453.08µm
net885,452.9µm
net605,452.76µm
net1333,452.24µm
net1376,451.985µm
net792,451.98µm
_33129_,451.41µm
net831,451.04µm
net1186,450.42µm
net328,449.9µm
net1063,449.855µm
net1425,449.75µm
net563,449.18µm
net1230,448.79µm
net1114,448.485µm
_32975_,448.44µm
net1347,448.44µm
net827,447.31µm
net901,446.96µm
net1164,446.375µm
net814,446.3µm
_32524_,446.2µm
net1101,445.82µm
net1177,445.41µm
_01590_,445.35µm
net928,444.7µm
net1445,443.8µm
net391,442.45µm
net1369,442.42µm
net621,442.41µm
net144,441.89µm
net698,441.8µm
tea.data_in\[40\],441.43µm
net1465,441.14µm
net1067,440.87µm
net1611,440.51µm
net806,440.38µm
net1055,440.33µm
net1418,440µm
net1564,439.99µm
net787,439.94µm
net538,439.62µm
net816,439.49µm
net1521,439.06µm
net1272,438.55µm
net564,438.49µm
net599,438.205µm
net519,438.03µm
net1017,437.42µm
net524,437.38µm
net1119,437.04µm
net1603,436.81µm
net986,436.43µm
net1306,436.39µm
net1361,435.86µm
net1077,435.4µm
net255,435.18µm
net1026,434.86µm
net1109,434.44µm
net1080,434.335µm
net1414,434.09µm
net804,433.7µm
net1081,433.28µm
tea.data_in\[15\],433.26µm
net1125,433.21µm
net1344,433.19µm
net1157,432.94µm
net932,432.81µm
net1066,432.24µm
net824,432.21µm
net1466,431.79µm
net558,431.58µm
net528,430.78µm
net1381,430.275µm
net1233,430.26µm
net1056,428.85µm
net1165,428.75µm
net1441,428.63µm
net1454,428.36µm
net1403,427.7µm
net1494,426.555µm
net734,425.76µm
net872,423.81µm
net1598,422.14µm
net547,422.12µm
net1610,422.11µm
net652,421.71µm
net453,421.04µm
net875,418.71µm
net963,418.28µm
net571,418.04µm
net678,417.46µm
net1143,417.26µm
net534,416.97µm
tea.data_in\[24\],416.92µm
net346,416.45µm
_31170_,416.4µm
net1037,416.155µm
tea.data_in\[41\],415.98µm
net1253,415.7µm
net1030,415.56µm
net633,415.2µm
net585,415.13µm
net340,415µm
_32425_,414.81µm
net163,414.66µm
net465,413.975µm
net1178,413.85µm
net1019,413.63µm
net1228,413.45µm
net918,413.34µm
net1512,413.2µm
_32106_,412.94µm
net403,412.54µm
net794,412.155µm
net628,410.57µm
net978,410.38µm
net1548,410.26µm
net1241,410.14µm
net1167,409.44µm
net1099,409.23µm
net1331,409.17µm
net1173,408.98µm
_32612_,408.94µm
_32953_,408.83µm
net1198,408.35µm
net980,408.3µm
net1088,408.12µm
_32469_,408.07µm
net1251,407.95µm
net1479,407.92µm
net1616,407.82µm
net819,407.57µm
net767,406.78µm
tea.data_in\[47\],405.33µm
net1129,404.42µm
net1197,404.06µm
net988,402.56µm
net1432,402.16µm
net1205,401.66µm
_00053_,401.625µm
net601,401.5µm
net1284,401.35µm
net970,400.7µm
net1337,400.69µm
net1145,398.96µm
net1568,398.74µm
net334,398.34µm
net640,398.06µm
net1452,398µm
net401,397.375µm
net903,397.28µm
net1539,396.56µm
net1176,395.32µm
net1226,395.18µm
net544,394.95µm
net1141,394.85µm
net339,394.42µm
net1572,394.18µm
net729,394.1µm
net185,393.93µm
net467,393.92µm
net1422,393.9µm
net393,393.38µm
net925,393.1µm
net695,392.55µm
net1619,392.38µm
net904,392.26µm
net915,392.22µm
net183,391.86µm
_21505_,391.66µm
net958,390.76µm
net1379,390.085µm
net574,390.01µm
net1395,389.98µm
net1440,388.905µm
net1459,388.88µm
net1110,387.435µm
_01601_,387.37µm
net387,387.35µm
net866,387.33µm
net1084,386.2µm
net1491,386.05µm
net1045,385.37µm
net1552,385.06µm
net1276,384.85µm
net684,384.56µm
net770,384.13µm
net1554,384.03µm
_27721_,383.69µm
net1302,383.68µm
net765,383.09µm
tea.data_in\[12\],382.91µm
net747,382.66µm
net664,382.32µm
_22782_,380.985µm
net1529,380.6µm
net460,379.27µm
net1259,378.96µm
net1461,378.65µm
net708,378.04µm
net1078,377.48µm
net364,377.47µm
net741,377.27µm
net323,377.2µm
net347,376.87µm
net374,376.83µm
net1162,376.63µm
net707,376.06µm
net981,375.93µm
net758,375.5µm
net562,375.38µm
net382,375.12µm
net1310,375.08µm
net566,374.94µm
net744,373.99µm
net1535,373.82µm
net811,373.79µm
net1363,373.59µm
net1193,373.44µm
net1370,373.4µm
net1443,372.97µm
_02266_,372.72µm
net920,372.55µm
net1530,372.5µm
_02859_,372.48µm
net740,372.45µm
_32678_,371.39µm
net1541,370.76µm
net1023,370.7µm
net363,370.55µm
_33173_,370.4µm
tea.data_in\[25\],370.28µm
net1436,370.08µm
net1350,369.58µm
net1366,369.46µm
_02256_,368.91µm
net1255,368.44µm
net1550,367.74µm
tea.data_in\[28\],367.72µm
_32634_,367.17µm
_33041_,367.17µm
net1312,366.81µm
net1615,366.77µm
net1464,366.76µm
net686,366.32µm
net381,366.18µm
net713,366.01µm
net1279,364.79µm
net874,364.515µm
net667,364.24µm
net1595,363.1µm
_08136_,362.28µm
net1462,362.1µm
net1179,361.44µm
net521,361.22µm
net580,360.69µm
_27710_,360.66µm
_02879_,360.63µm
net782,360.4µm
net931,360.24µm
clknet_2_3_0_clk,359.7µm
net749,359.63µm
net715,359.3µm
_21428_,358.62µm
net826,358.62µm
net1184,358.36µm
net1523,358.285µm
_32711_,358.05µm
net1287,357.67µm
net1394,357.3µm
net1100,357.2µm
_02868_,357.13µm
net701,356.91µm
_08026_,356.56µm
net456,355.87µm
_32018_,355.39µm
_22771_,355.37µm
net625,355.19µm
net1097,354.46µm
net1146,354.29µm
net1161,353.94µm
net530,353.91µm
net704,353.79µm
net322,353.76µm
_02238_,353.68µm
net1236,353.53µm
net375,353.08µm
net492,353.06µm
_20176_,352.95µm
net384,352.88µm
_31051_,352.57µm
net1191,352µm
net822,351.67µm
net1138,351.39µm
net1238,351.18µm
net1295,351.04µm
_20803_,350.495µm
net1216,350.19µm
net376,350.13µm
net545,349.98µm
net353,349.28µm
net1444,349.24µm
net723,348.42µm
net1069,347.38µm
net1359,347.3µm
net880,347.1µm
net1089,346.945µm
_29359_,346.78µm
_00351_,346.55µm
net1415,346.36µm
_27077_,346µm
net985,345.81µm
net1277,345.7µm
_00051_,345.385µm
net386,344.54µm
net1137,344.36µm
_28924_,344.255µm
net1424,344.14µm
net450,343.17µm
net473,342.96µm
net1480,342.44µm
net712,342.315µm
net907,342.12µm
net1299,341.94µm
tea.data_in\[27\],341.935µm
net344,341.88µm
_32700_,341.81µm
net448,341.76µm
net1473,340.91µm
net1577,340.83µm
net349,339.755µm
net326,339.22µm
net1033,338.605µm
net1419,338.47µm
_27701_,337.42µm
net1065,337.2µm
net1140,336.91µm
_30302_,336.18µm
net445,336.03µm
net343,335.52µm
_29009_,335.455µm
net543,335.37µm
net537,335.055µm
_02848_,335.03µm
_33036_,334.655µm
_30533_,334.36µm
net1152,334.26µm
_37521_,334.07µm
net459,333.99µm
net1386,333.97µm
tea.data_in\[29\],333.9µm
net1482,332.89µm
_21396_,332.88µm
tea.data_in\[43\],332.5µm
net449,332.46µm
net420,331.96µm
net1305,331.46µm
_22791_,330.98µm
net421,330.48µm
net404,330.16µm
net402,330.01µm
net1406,329.92µm
net668,329.82µm
net348,329.14µm
net466,329.03µm
net1477,328.44µm
tea.data_in\[17\],328.37µm
net1169,328.28µm
_03498_,328.1µm
net775,328.09µm
net962,327.74µm
_21494_,327.52µm
_18889_,327.51µm
_01568_,327.1µm
net1150,326.46µm
_02174_,326.28µm
_29054_,325.95µm
net1261,325.94µm
_18950_,325.82µm
_28106_,325.79µm
net451,325.76µm
net1282,325.6µm
net1593,324.76µm
_30373_,324.6µm
_28885_,323.995µm
_37511_,323.84µm
_00922_,323.74µm
_02361_,323.52µm
net385,323.48µm
net1458,322.64µm
_00003_,322.6µm
_17614_,321.46µm
net1341,320.635µm
net897,320.63µm
_20119_,320.065µm
net966,319.96µm
_33026_,319.04µm
_20792_,318.88µm
tea.data_in\[33\],318.52µm
net598,318.38µm
net726,318.355µm
net1139,318.35µm
net1194,318.26µm
_27090_,318.09µm
net728,317.64µm
_37532_,317.03µm
_34314_,316.72µm
net1061,316.5µm
net1549,315.93µm
_18868_,315.82µm
tea.data_in\[45\],315.42µm
_27070_,314.985µm
net406,314.82µm
net1392,314.7µm
net1039,314.085µm
net945,313.36µm
net1478,313.28µm
net967,313.18µm
net877,313.13µm
_33702_,313.02µm
_18231_,312.85µm
_29564_,312.78µm
_03515_,312.76µm
_03506_,312.7µm
_29710_,312.68µm
_29884_,312.66µm
_17664_,312.58µm
net1557,312.31µm
_01557_,312.25µm
_29185_,312.2µm
_00298_,311.96µm
_18310_,311.7µm
_12554_,311.56µm
net351,311.51µm
_01565_,311.34µm
net739,310.84µm
net636,310.83µm
_21503_,310.5µm
net350,310.36µm
net1489,310µm
net968,309.72µm
tea.data_in\[4\],309.34µm
_28608_,308.64µm
net1481,308.42µm
net389,308.33µm
_27057_,308.3µm
_02201_,307.94µm
_00933_,307.7µm
net952,307.67µm
net634,307.6µm
net1474,307.32µm
net1430,306.8µm
net457,306.13µm
net964,306.11µm
net1298,306.04µm
net370,305.98µm
_22801_,305.74µm
_22676_,305.71µm
net1388,305.7µm
_18330_,305.5µm
_20154_,305.2µm
_18878_,304.97µm
net1180,304.75µm
_37500_,304.15µm
_36888_,304.12µm
net1292,304.06µm
_29140_,303.98µm
net1172,303.8µm
net1565,303.58µm
_22779_,303.5µm
net817,303.235µm
_32535_,303.21µm
_22576_,303.11µm
net1448,302.95µm
net1147,302.6µm
net417,302.51µm
net1468,302.24µm
_02263_,302.12µm
net522,302.01µm
_01622_,301.96µm
_33612_,301.61µm
_20882_,301.4µm
_25266_,301.395µm
net529,301.1µm
_08301_,300.9µm
net1308,300.815µm
_03535_,300.7µm
_15275_,300.2µm
net1484,300.18µm
tea.data_in\[30\],298.56µm
_33045_,298.505µm
net1475,298.2µm
net1175,298.01µm
_02042_,297.56µm
_32777_,297.25µm
_17571_,296.99µm
_00022_,296.985µm
_19464_,296.725µm
net1049,296.47µm
_15098_,296.38µm
net1372,296.33µm
_00981_,296.195µm
_31996_,296.09µm
net392,295.97µm
net461,295.82µm
_28027_,295.125µm
net1149,295.02µm
net944,294.85µm
net959,294.73µm
_16938_,294.56µm
_22030_,294.43µm
net1421,294.43µm
_00308_,294.34µm
_30218_,294.26µm
tea.data_in\[44\],294.15µm
_33623_,293.66µm
net494,293.65µm
net590,293.32µm
_19473_,292.935µm
_32040_,292.8µm
_28616_,292.53µm
_22150_,292.48µm
net1155,292.45µm
_22706_,292.44µm
_20129_,292.345µm
net714,292.34µm
net1567,292.3µm
_25338_,291.9µm
_36241_,291.82µm
net365,291.76µm
net447,291.71µm
_01575_,291.25µm
_25328_,290.72µm
_24024_,290.71µm
_28624_,290.35µm
net953,289.7µm
_29669_,289.315µm
net902,289.26µm
net487,289.12µm
_22758_,289µm
clknet_2_0_0_clk,288.84µm
_20834_,288.02µm
net433,287.935µm
_01587_,287.79µm
net1375,287.745µm
net336,287.7µm
net637,287.415µm
_35652_,287.4µm
net1148,287.04µm
_22020_,287.02µm
net722,286.89µm
_18847_,286.13µm
_21527_,285.1µm
net477,285.08µm
_25356_,285µm
net616,284.99µm
net405,284.46µm
_25255_,283.98µm
_18980_,283.795µm
_03488_,283.72µm
_22717_,283.6µm
net1032,283.595µm
net1486,283.44µm
_17582_,283.3µm
net383,283.12µm
net1776,282.705µm
_01679_,282.32µm
_00276_,282.04µm
net823,281.98µm
_19483_,281.96µm
_15080_,281.76µm
net1470,281.76µm
net619,280.81µm
_00911_,280.64µm
net184,280.14µm
_17592_,280.04µm
net361,279.82µm
net1027,279.82µm
_29485_,279.5µm
_16279_,279.47µm
net1118,279.19µm
_22041_,278.625µm
_01888_,278.185µm
net1188,278.015µm
net415,277.88µm
_16946_,277.69µm
_22696_,277.66µm
_30010_,277.55µm
net416,277.3µm
_25909_,277.18µm
_15396_,276.95µm
_05494_,276.935µm
tea.data_in\[3\],276.46µm
net898,276.4µm
_00063_,275.84µm
net942,275.55µm
_16302_,275.42µm
net357,275.42µm
_15165_,275.38µm
tea.data_in\[11\],275.045µm
_18320_,274.92µm
_29989_,274.76µm
_29232_,274.44µm
_00287_,274.22µm
_15036_,274.2µm
_00040_,274.175µm
_34352_,272.9µm
_28482_,272.62µm
_28968_,272.56µm
net463,272.45µm
_08028_,272.34µm
clknet_2_2_0_clk,272.28µm
_36916_,272.24µm
_25289_,272.09µm
net954,272.04µm
_15090_,271.58µm
net1015,271.08µm
net977,271.05µm
net397,270.74µm
_00000_,270.54µm
net372,270.26µm
net410,270.185µm
net711,270.115µm
_33655_,269.93µm
net612,269.62µm
net497,269.56µm
_29096_,269.52µm
_09362_,269.4µm
net753,269.4µm
_34068_,269.04µm
